time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2008-01-01T00:00:00Z,-16.73,-43.87,268.0
2008-02-01T00:00:00Z,-16.73,-43.87,953.0
2008-03-01T00:00:00Z,-16.73,-43.87,2432.0
2008-04-01T00:00:00Z,-16.73,-43.87,2491.0
2008-05-01T00:00:00Z,-16.73,-43.87,1952.0
2008-06-01T00:00:00Z,-16.73,-43.87,1509.0
2008-07-01T00:00:00Z,-16.73,-43.87,1121.0
2008-08-01T00:00:00Z,-16.73,-43.87,749.0
2008-09-01T00:00:00Z,-16.73,-43.87,557.0
2008-10-01T00:00:00Z,-16.73,-43.87,447.0
2008-11-01T00:00:00Z,-16.73,-43.87,2535.0
2008-12-01T00:00:00Z,-16.73,-43.87,2535.0
