time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2018-01-01T00:00:00Z,-16.73,-43.87,1661.0
2018-02-01T00:00:00Z,-16.73,-43.87,2535.0
2018-03-01T00:00:00Z,-16.73,-43.87,2535.0
2018-04-01T00:00:00Z,-16.73,-43.87,2142.0
2018-05-01T00:00:00Z,-16.73,-43.87,1638.0
2018-06-01T00:00:00Z,-16.73,-43.87,1220.0
2018-07-01T00:00:00Z,-16.73,-43.87,858.0
2018-08-01T00:00:00Z,-16.73,-43.87,611.0
2018-09-01T00:00:00Z,-16.73,-43.87,480.0
2018-10-01T00:00:00Z,-16.73,-43.87,464.0
2018-11-01T00:00:00Z,-16.73,-43.87,813.0
2018-12-01T00:00:00Z,-16.73,-43.87,1459.0
