time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2011-01-01T00:00:00Z,-16.73,-43.87,2535.0
2011-02-01T00:00:00Z,-16.73,-43.87,1845.0
2011-03-01T00:00:00Z,-16.73,-43.87,2535.0
2011-04-01T00:00:00Z,-16.73,-43.87,2376.0
2011-05-01T00:00:00Z,-16.73,-43.87,1897.0
2011-06-01T00:00:00Z,-16.73,-43.87,1489.0
2011-07-01T00:00:00Z,-16.73,-43.87,1106.0
2011-08-01T00:00:00Z,-16.73,-43.87,716.0
2011-09-01T00:00:00Z,-16.73,-43.87,540.0
2011-10-01T00:00:00Z,-16.73,-43.87,511.0
2011-11-01T00:00:00Z,-16.73,-43.87,1535.0
2011-12-01T00:00:00Z,-16.73,-43.87,2535.0
