time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2023-01-01T00:00:00Z,-16.73,-43.87,2535.0
2023-02-01T00:00:00Z,-16.73,-43.87,1786.0
2023-03-01T00:00:00Z,-16.73,-43.87,1151.0
2023-04-01T00:00:00Z,-16.73,-43.87,931.0
2023-05-01T00:00:00Z,-16.73,-43.87,645.0
2023-06-01T00:00:00Z,-16.73,-43.87,500.0
2023-07-01T00:00:00Z,-16.73,-43.87,411.0
2023-08-01T00:00:00Z,-16.73,-43.87,349.0
2023-09-01T00:00:00Z,-16.73,-43.87,304.0
2023-10-01T00:00:00Z,-16.73,-43.87,270.0
2023-11-01T00:00:00Z,-16.73,-43.87,243.0
2023-12-01T00:00:00Z,-16.73,-43.87,1098.0
