time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2024-01-01T00:00:00Z,-16.73,-43.87,2313.0
2024-02-01T00:00:00Z,-16.73,-43.87,2535.0
2024-03-01T00:00:00Z,-16.73,-43.87,2380.0
2024-04-01T00:00:00Z,-16.73,-43.87,2083.0
2024-05-01T00:00:00Z,-16.73,-43.87,1557.0
2024-06-01T00:00:00Z,-16.73,-43.87,1171.0
2024-07-01T00:00:00Z,-16.73,-43.87,837.0
2024-08-01T00:00:00Z,-16.73,-43.87,602.0
2024-09-01T00:00:00Z,-16.73,-43.87,474.0
2024-10-01T00:00:00Z,-16.73,-43.87,470.0
2024-11-01T00:00:00Z,-16.73,-43.87,1882.0
2024-12-01T00:00:00Z,-16.73,-43.87,2124.0
