time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2021-01-01T00:00:00Z,-16.73,-43.87,463.0
2021-02-01T00:00:00Z,-16.73,-43.87,2510.0
2021-03-01T00:00:00Z,-16.73,-43.87,2100.0
2021-04-01T00:00:00Z,-16.73,-43.87,1704.0
2021-05-01T00:00:00Z,-16.73,-43.87,1291.0
2021-06-01T00:00:00Z,-16.73,-43.87,985.0
2021-07-01T00:00:00Z,-16.73,-43.87,720.0
2021-08-01T00:00:00Z,-16.73,-43.87,542.0
2021-09-01T00:00:00Z,-16.73,-43.87,438.0
2021-10-01T00:00:00Z,-16.73,-43.87,532.0
2021-11-01T00:00:00Z,-16.73,-43.87,2140.0
2021-12-01T00:00:00Z,-16.73,-43.87,2535.0
