time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2010-01-01T00:00:00Z,-16.73,-43.87,1807.0
2010-02-01T00:00:00Z,-16.73,-43.87,1245.0
2010-03-01T00:00:00Z,-16.73,-43.87,2535.0
2010-04-01T00:00:00Z,-16.73,-43.87,2063.0
2010-05-01T00:00:00Z,-16.73,-43.87,1940.0
2010-06-01T00:00:00Z,-16.73,-43.87,1483.0
2010-07-01T00:00:00Z,-16.73,-43.87,1076.0
2010-08-01T00:00:00Z,-16.73,-43.87,704.0
2010-09-01T00:00:00Z,-16.73,-43.87,533.0
2010-10-01T00:00:00Z,-16.73,-43.87,487.0
2010-11-01T00:00:00Z,-16.73,-43.87,2529.0
2010-12-01T00:00:00Z,-16.73,-43.87,2535.0
