time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2014-01-01T00:00:00Z,-16.73,-43.87,1749.0
2014-02-01T00:00:00Z,-16.73,-43.87,1168.0
2014-03-01T00:00:00Z,-16.73,-43.87,1048.0
2014-04-01T00:00:00Z,-16.73,-43.87,875.0
2014-05-01T00:00:00Z,-16.73,-43.87,620.0
2014-06-01T00:00:00Z,-16.73,-43.87,485.0
2014-07-01T00:00:00Z,-16.73,-43.87,401.0
2014-08-01T00:00:00Z,-16.73,-43.87,342.0
2014-09-01T00:00:00Z,-16.73,-43.87,299.0
2014-10-01T00:00:00Z,-16.73,-43.87,266.0
2014-11-01T00:00:00Z,-16.73,-43.87,708.0
2014-12-01T00:00:00Z,-16.73,-43.87,654.0
