time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2006-01-01T00:00:00Z,-16.73,-43.87,1811.0
2006-02-01T00:00:00Z,-16.73,-43.87,1578.0
2006-03-01T00:00:00Z,-16.73,-43.87,2535.0
2006-04-01T00:00:00Z,-16.73,-43.87,2535.0
2006-05-01T00:00:00Z,-16.73,-43.87,2001.0
2006-06-01T00:00:00Z,-16.73,-43.87,1562.0
2006-07-01T00:00:00Z,-16.73,-43.87,1199.0
2006-08-01T00:00:00Z,-16.73,-43.87,834.0
2006-09-01T00:00:00Z,-16.73,-43.87,727.0
2006-10-01T00:00:00Z,-16.73,-43.87,739.0
2006-11-01T00:00:00Z,-16.73,-43.87,2535.0
2006-12-01T00:00:00Z,-16.73,-43.87,2535.0
