time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2005-01-01T00:00:00Z,-16.73,-43.87,2535.0
2005-02-01T00:00:00Z,-16.73,-43.87,2535.0
2005-03-01T00:00:00Z,-16.73,-43.87,2535.0
2005-04-01T00:00:00Z,-16.73,-43.87,1994.0
2005-05-01T00:00:00Z,-16.73,-43.87,1655.0
2005-06-01T00:00:00Z,-16.73,-43.87,1282.0
2005-07-01T00:00:00Z,-16.73,-43.87,940.0
2005-08-01T00:00:00Z,-16.73,-43.87,649.0
2005-09-01T00:00:00Z,-16.73,-43.87,502.0
2005-10-01T00:00:00Z,-16.73,-43.87,412.0
2005-11-01T00:00:00Z,-16.73,-43.87,2354.0
2005-12-01T00:00:00Z,-16.73,-43.87,2535.0
