time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2012-01-01T00:00:00Z,-16.73,-43.87,2535.0
2012-02-01T00:00:00Z,-16.73,-43.87,1826.0
2012-03-01T00:00:00Z,-16.73,-43.87,1421.0
2012-04-01T00:00:00Z,-16.73,-43.87,1053.0
2012-05-01T00:00:00Z,-16.73,-43.87,910.0
2012-06-01T00:00:00Z,-16.73,-43.87,660.0
2012-07-01T00:00:00Z,-16.73,-43.87,509.0
2012-08-01T00:00:00Z,-16.73,-43.87,416.0
2012-09-01T00:00:00Z,-16.73,-43.87,353.0
2012-10-01T00:00:00Z,-16.73,-43.87,307.0
2012-11-01T00:00:00Z,-16.73,-43.87,2286.0
2012-12-01T00:00:00Z,-16.73,-43.87,1672.0
