time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2015-01-01T00:00:00Z,-16.73,-43.87,505.0
2015-02-01T00:00:00Z,-16.73,-43.87,476.0
2015-03-01T00:00:00Z,-16.73,-43.87,686.0
2015-04-01T00:00:00Z,-16.73,-43.87,644.0
2015-05-01T00:00:00Z,-16.73,-43.87,499.0
2015-06-01T00:00:00Z,-16.73,-43.87,410.0
2015-07-01T00:00:00Z,-16.73,-43.87,349.0
2015-08-01T00:00:00Z,-16.73,-43.87,304.0
2015-09-01T00:00:00Z,-16.73,-43.87,270.0
2015-10-01T00:00:00Z,-16.73,-43.87,242.0
2015-11-01T00:00:00Z,-16.73,-43.87,220.0
2015-12-01T00:00:00Z,-16.73,-43.87,202.0
