time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2013-01-01T00:00:00Z,-16.73,-43.87,2535.0
2013-02-01T00:00:00Z,-16.73,-43.87,1758.0
2013-03-01T00:00:00Z,-16.73,-43.87,1199.0
2013-04-01T00:00:00Z,-16.73,-43.87,1290.0
2013-05-01T00:00:00Z,-16.73,-43.87,937.0
2013-06-01T00:00:00Z,-16.73,-43.87,689.0
2013-07-01T00:00:00Z,-16.73,-43.87,525.0
2013-08-01T00:00:00Z,-16.73,-43.87,427.0
2013-09-01T00:00:00Z,-16.73,-43.87,361.0
2013-10-01T00:00:00Z,-16.73,-43.87,313.0
2013-11-01T00:00:00Z,-16.73,-43.87,1031.0
2013-12-01T00:00:00Z,-16.73,-43.87,2535.0
