time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2022-01-01T00:00:00Z,-16.73,-43.87,2535.0
2022-02-01T00:00:00Z,-16.73,-43.87,2535.0
2022-03-01T00:00:00Z,-16.73,-43.87,1741.0
2022-04-01T00:00:00Z,-16.73,-43.87,1360.0
2022-05-01T00:00:00Z,-16.73,-43.87,979.0
2022-06-01T00:00:00Z,-16.73,-43.87,716.0
2022-07-01T00:00:00Z,-16.73,-43.87,540.0
2022-08-01T00:00:00Z,-16.73,-43.87,436.0
2022-09-01T00:00:00Z,-16.73,-43.87,367.0
2022-10-01T00:00:00Z,-16.73,-43.87,318.0
2022-11-01T00:00:00Z,-16.73,-43.87,1731.0
2022-12-01T00:00:00Z,-16.73,-43.87,2535.0
