time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2017-01-01T00:00:00Z,-16.73,-43.87,335.0
2017-02-01T00:00:00Z,-16.73,-43.87,618.0
2017-03-01T00:00:00Z,-16.73,-43.87,556.0
2017-04-01T00:00:00Z,-16.73,-43.87,447.0
2017-05-01T00:00:00Z,-16.73,-43.87,375.0
2017-06-01T00:00:00Z,-16.73,-43.87,323.0
2017-07-01T00:00:00Z,-16.73,-43.87,284.0
2017-08-01T00:00:00Z,-16.73,-43.87,254.0
2017-09-01T00:00:00Z,-16.73,-43.87,230.0
2017-10-01T00:00:00Z,-16.73,-43.87,210.0
2017-11-01T00:00:00Z,-16.73,-43.87,1293.0
2017-12-01T00:00:00Z,-16.73,-43.87,2492.0
