time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2007-01-01T00:00:00Z,-16.73,-43.87,2492.0
2007-02-01T00:00:00Z,-16.73,-43.87,2535.0
2007-03-01T00:00:00Z,-16.73,-43.87,1871.0
2007-04-01T00:00:00Z,-16.73,-43.87,1453.0
2007-05-01T00:00:00Z,-16.73,-43.87,1053.0
2007-06-01T00:00:00Z,-16.73,-43.87,768.0
2007-07-01T00:00:00Z,-16.73,-43.87,567.0
2007-08-01T00:00:00Z,-16.73,-43.87,453.0
2007-09-01T00:00:00Z,-16.73,-43.87,379.0
2007-10-01T00:00:00Z,-16.73,-43.87,327.0
2007-11-01T00:00:00Z,-16.73,-43.87,287.0
2007-12-01T00:00:00Z,-16.73,-43.87,275.0
