time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2009-01-01T00:00:00Z,-16.73,-43.87,2535.0
2009-02-01T00:00:00Z,-16.73,-43.87,2281.0
2009-03-01T00:00:00Z,-16.73,-43.87,2017.0
2009-04-01T00:00:00Z,-16.73,-43.87,1944.0
2009-05-01T00:00:00Z,-16.73,-43.87,1516.0
2009-06-01T00:00:00Z,-16.73,-43.87,1199.0
2009-07-01T00:00:00Z,-16.73,-43.87,874.0
2009-08-01T00:00:00Z,-16.73,-43.87,619.0
2009-09-01T00:00:00Z,-16.73,-43.87,513.0
2009-10-01T00:00:00Z,-16.73,-43.87,2535.0
2009-11-01T00:00:00Z,-16.73,-43.87,2535.0
2009-12-01T00:00:00Z,-16.73,-43.87,2535.0
