time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2003-01-01T00:00:00Z,-16.73,-43.87,2535.0
2003-02-01T00:00:00Z,-16.73,-43.87,1944.0
2003-03-01T00:00:00Z,-16.73,-43.87,1556.0
2003-04-01T00:00:00Z,-16.73,-43.87,1109.0
2003-05-01T00:00:00Z,-16.73,-43.87,788.0
2003-06-01T00:00:00Z,-16.73,-43.87,578.0
2003-07-01T00:00:00Z,-16.73,-43.87,460.0
2003-08-01T00:00:00Z,-16.73,-43.87,384.0
2003-09-01T00:00:00Z,-16.73,-43.87,330.0
2003-10-01T00:00:00Z,-16.73,-43.87,289.0
2003-11-01T00:00:00Z,-16.73,-43.87,258.0
2003-12-01T00:00:00Z,-16.73,-43.87,900.0
