time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2016-01-01T00:00:00Z,-16.73,-43.87,2535.0
2016-02-01T00:00:00Z,-16.73,-43.87,1889.0
2016-03-01T00:00:00Z,-16.73,-43.87,1405.0
2016-04-01T00:00:00Z,-16.73,-43.87,931.0
2016-05-01T00:00:00Z,-16.73,-43.87,645.0
2016-06-01T00:00:00Z,-16.73,-43.87,500.0
2016-07-01T00:00:00Z,-16.73,-43.87,410.0
2016-08-01T00:00:00Z,-16.73,-43.87,349.0
2016-09-01T00:00:00Z,-16.73,-43.87,304.0
2016-10-01T00:00:00Z,-16.73,-43.87,270.0
2016-11-01T00:00:00Z,-16.73,-43.87,450.0
2016-12-01T00:00:00Z,-16.73,-43.87,390.0
