time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2020-01-01T00:00:00Z,-16.73,-43.87,2532.0
2020-02-01T00:00:00Z,-16.73,-43.87,2535.0
2020-03-01T00:00:00Z,-16.73,-43.87,2535.0
2020-04-01T00:00:00Z,-16.73,-43.87,2414.0
2020-05-01T00:00:00Z,-16.73,-43.87,2113.0
2020-06-01T00:00:00Z,-16.73,-43.87,1670.0
2020-07-01T00:00:00Z,-16.73,-43.87,1278.0
2020-08-01T00:00:00Z,-16.73,-43.87,850.0
2020-09-01T00:00:00Z,-16.73,-43.87,608.0
2020-10-01T00:00:00Z,-16.73,-43.87,581.0
2020-11-01T00:00:00Z,-16.73,-43.87,565.0
2020-12-01T00:00:00Z,-16.73,-43.87,582.0
