time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],soil[unit="mm"]
2004-01-01T00:00:00Z,-16.73,-43.87,1563.0
2004-02-01T00:00:00Z,-16.73,-43.87,2535.0
2004-03-01T00:00:00Z,-16.73,-43.87,2535.0
2004-04-01T00:00:00Z,-16.73,-43.87,2395.0
2004-05-01T00:00:00Z,-16.73,-43.87,1916.0
2004-06-01T00:00:00Z,-16.73,-43.87,1613.0
2004-07-01T00:00:00Z,-16.73,-43.87,1321.0
2004-08-01T00:00:00Z,-16.73,-43.87,896.0
2004-09-01T00:00:00Z,-16.73,-43.87,629.0
2004-10-01T00:00:00Z,-16.73,-43.87,491.0
2004-11-01T00:00:00Z,-16.73,-43.87,429.0
2004-12-01T00:00:00Z,-16.73,-43.87,2064.0
