time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2006-01-01T00:00:00Z,-16.73,-43.87,431.0
2006-02-01T00:00:00Z,-16.73,-43.87,725.0
2006-03-01T00:00:00Z,-16.73,-43.87,3434.0
2006-04-01T00:00:00Z,-16.73,-43.87,2289.0
2006-05-01T00:00:00Z,-16.73,-43.87,43.0
2006-06-01T00:00:00Z,-16.73,-43.87,2.0
2006-07-01T00:00:00Z,-16.73,-43.87,0.0
2006-08-01T00:00:00Z,-16.73,-43.87,74.0
2006-09-01T00:00:00Z,-16.73,-43.87,701.0
2006-10-01T00:00:00Z,-16.73,-43.87,1111.0
2006-11-01T00:00:00Z,-16.73,-43.87,2958.0
2006-12-01T00:00:00Z,-16.73,-43.87,1978.0
