time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2020-01-01T00:00:00Z,-16.73,-43.87,3678.0
2020-02-01T00:00:00Z,-16.73,-43.87,1462.0
2020-03-01T00:00:00Z,-16.73,-43.87,2163.0
2020-04-01T00:00:00Z,-16.73,-43.87,734.0
2020-05-01T00:00:00Z,-16.73,-43.87,358.0
2020-06-01T00:00:00Z,-16.73,-43.87,11.0
2020-07-01T00:00:00Z,-16.73,-43.87,21.0
2020-08-01T00:00:00Z,-16.73,-43.87,21.0
2020-09-01T00:00:00Z,-16.73,-43.87,46.0
2020-10-01T00:00:00Z,-16.73,-43.87,1255.0
2020-11-01T00:00:00Z,-16.73,-43.87,1057.0
2020-12-01T00:00:00Z,-16.73,-43.87,1325.0
