time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2015-01-01T00:00:00Z,-16.73,-43.87,50.0
2015-02-01T00:00:00Z,-16.73,-43.87,1070.0
2015-03-01T00:00:00Z,-16.73,-43.87,1439.0
2015-04-01T00:00:00Z,-16.73,-43.87,759.0
2015-05-01T00:00:00Z,-16.73,-43.87,133.0
2015-06-01T00:00:00Z,-16.73,-43.87,1.0
2015-07-01T00:00:00Z,-16.73,-43.87,1.0
2015-08-01T00:00:00Z,-16.73,-43.87,17.0
2015-09-01T00:00:00Z,-16.73,-43.87,11.0
2015-10-01T00:00:00Z,-16.73,-43.87,67.0
2015-11-01T00:00:00Z,-16.73,-43.87,1153.0
2015-12-01T00:00:00Z,-16.73,-43.87,699.0
