time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2022-01-01T00:00:00Z,-16.73,-43.87,2325.0
2022-02-01T00:00:00Z,-16.73,-43.87,1886.0
2022-03-01T00:00:00Z,-16.73,-43.87,66.0
2022-04-01T00:00:00Z,-16.73,-43.87,328.0
2022-05-01T00:00:00Z,-16.73,-43.87,38.0
2022-06-01T00:00:00Z,-16.73,-43.87,1.0
2022-07-01T00:00:00Z,-16.73,-43.87,0.0
2022-08-01T00:00:00Z,-16.73,-43.87,4.0
2022-09-01T00:00:00Z,-16.73,-43.87,55.0
2022-10-01T00:00:00Z,-16.73,-43.87,347.0
2022-11-01T00:00:00Z,-16.73,-43.87,2654.0
2022-12-01T00:00:00Z,-16.73,-43.87,3082.0
