time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2007-01-01T00:00:00Z,-16.73,-43.87,1223.0
2007-02-01T00:00:00Z,-16.73,-43.87,2788.0
2007-03-01T00:00:00Z,-16.73,-43.87,285.0
2007-04-01T00:00:00Z,-16.73,-43.87,216.0
2007-05-01T00:00:00Z,-16.73,-43.87,27.0
2007-06-01T00:00:00Z,-16.73,-43.87,0.0
2007-07-01T00:00:00Z,-16.73,-43.87,1.0
2007-08-01T00:00:00Z,-16.73,-43.87,0.0
2007-09-01T00:00:00Z,-16.73,-43.87,1.0
2007-10-01T00:00:00Z,-16.73,-43.87,185.0
2007-11-01T00:00:00Z,-16.73,-43.87,828.0
2007-12-01T00:00:00Z,-16.73,-43.87,1186.0
