time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2010-01-01T00:00:00Z,-16.73,-43.87,328.0
2010-02-01T00:00:00Z,-16.73,-43.87,211.0
2010-03-01T00:00:00Z,-16.73,-43.87,2797.0
2010-04-01T00:00:00Z,-16.73,-43.87,252.0
2010-05-01T00:00:00Z,-16.73,-43.87,665.0
2010-06-01T00:00:00Z,-16.73,-43.87,0.0
2010-07-01T00:00:00Z,-16.73,-43.87,0.0
2010-08-01T00:00:00Z,-16.73,-43.87,0.0
2010-09-01T00:00:00Z,-16.73,-43.87,55.0
2010-10-01T00:00:00Z,-16.73,-43.87,1039.0
2010-11-01T00:00:00Z,-16.73,-43.87,3250.0
2010-12-01T00:00:00Z,-16.73,-43.87,2812.0
