time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2021-01-01T00:00:00Z,-16.73,-43.87,618.0
2021-02-01T00:00:00Z,-16.73,-43.87,3277.0
2021-03-01T00:00:00Z,-16.73,-43.87,481.0
2021-04-01T00:00:00Z,-16.73,-43.87,263.0
2021-05-01T00:00:00Z,-16.73,-43.87,11.0
2021-06-01T00:00:00Z,-16.73,-43.87,5.0
2021-07-01T00:00:00Z,-16.73,-43.87,2.0
2021-08-01T00:00:00Z,-16.73,-43.87,8.0
2021-09-01T00:00:00Z,-16.73,-43.87,30.0
2021-10-01T00:00:00Z,-16.73,-43.87,1471.0
2021-11-01T00:00:00Z,-16.73,-43.87,2817.0
2021-12-01T00:00:00Z,-16.73,-43.87,2627.0
