time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2005-01-01T00:00:00Z,-16.73,-43.87,2170.0
2005-02-01T00:00:00Z,-16.73,-43.87,2521.0
2005-03-01T00:00:00Z,-16.73,-43.87,1408.0
2005-04-01T00:00:00Z,-16.73,-43.87,189.0
2005-05-01T00:00:00Z,-16.73,-43.87,309.0
2005-06-01T00:00:00Z,-16.73,-43.87,46.0
2005-07-01T00:00:00Z,-16.73,-43.87,1.0
2005-08-01T00:00:00Z,-16.73,-43.87,19.0
2005-09-01T00:00:00Z,-16.73,-43.87,288.0
2005-10-01T00:00:00Z,-16.73,-43.87,681.0
2005-11-01T00:00:00Z,-16.73,-43.87,3081.0
2005-12-01T00:00:00Z,-16.73,-43.87,2932.0
