time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2023-01-01T00:00:00Z,-16.73,-43.87,2098.0
2023-02-01T00:00:00Z,-16.73,-43.87,83.0
2023-03-01T00:00:00Z,-16.73,-43.87,92.0
2023-04-01T00:00:00Z,-16.73,-43.87,431.0
2023-05-01T00:00:00Z,-16.73,-43.87,13.0
2023-06-01T00:00:00Z,-16.73,-43.87,4.0
2023-07-01T00:00:00Z,-16.73,-43.87,14.0
2023-08-01T00:00:00Z,-16.73,-43.87,126.0
2023-09-01T00:00:00Z,-16.73,-43.87,69.0
2023-10-01T00:00:00Z,-16.73,-43.87,470.0
2023-11-01T00:00:00Z,-16.73,-43.87,354.0
2023-12-01T00:00:00Z,-16.73,-43.87,2474.0
