time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2013-01-01T00:00:00Z,-16.73,-43.87,2757.0
2013-02-01T00:00:00Z,-16.73,-43.87,100.0
2013-03-01T00:00:00Z,-16.73,-43.87,44.0
2013-04-01T00:00:00Z,-16.73,-43.87,1106.0
2013-05-01T00:00:00Z,-16.73,-43.87,22.0
2013-06-01T00:00:00Z,-16.73,-43.87,21.0
2013-07-01T00:00:00Z,-16.73,-43.87,0.0
2013-08-01T00:00:00Z,-16.73,-43.87,0.0
2013-09-01T00:00:00Z,-16.73,-43.87,428.0
2013-10-01T00:00:00Z,-16.73,-43.87,868.0
2013-11-01T00:00:00Z,-16.73,-43.87,2057.0
2013-12-01T00:00:00Z,-16.73,-43.87,4182.0
