time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2012-01-01T00:00:00Z,-16.73,-43.87,1389.0
2012-02-01T00:00:00Z,-16.73,-43.87,92.0
2012-03-01T00:00:00Z,-16.73,-43.87,503.0
2012-04-01T00:00:00Z,-16.73,-43.87,242.0
2012-05-01T00:00:00Z,-16.73,-43.87,529.0
2012-06-01T00:00:00Z,-16.73,-43.87,6.0
2012-07-01T00:00:00Z,-16.73,-43.87,34.0
2012-08-01T00:00:00Z,-16.73,-43.87,86.0
2012-09-01T00:00:00Z,-16.73,-43.87,117.0
2012-10-01T00:00:00Z,-16.73,-43.87,337.0
2012-11-01T00:00:00Z,-16.73,-43.87,3022.0
2012-12-01T00:00:00Z,-16.73,-43.87,413.0
