time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2014-01-01T00:00:00Z,-16.73,-43.87,243.0
2014-02-01T00:00:00Z,-16.73,-43.87,160.0
2014-03-01T00:00:00Z,-16.73,-43.87,853.0
2014-04-01T00:00:00Z,-16.73,-43.87,491.0
2014-05-01T00:00:00Z,-16.73,-43.87,32.0
2014-06-01T00:00:00Z,-16.73,-43.87,26.0
2014-07-01T00:00:00Z,-16.73,-43.87,7.0
2014-08-01T00:00:00Z,-16.73,-43.87,1.0
2014-09-01T00:00:00Z,-16.73,-43.87,34.0
2014-10-01T00:00:00Z,-16.73,-43.87,952.0
2014-11-01T00:00:00Z,-16.73,-43.87,1631.0
2014-12-01T00:00:00Z,-16.73,-43.87,1007.0
