time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2016-01-01T00:00:00Z,-16.73,-43.87,3777.0
2016-02-01T00:00:00Z,-16.73,-43.87,261.0
2016-03-01T00:00:00Z,-16.73,-43.87,436.0
2016-04-01T00:00:00Z,-16.73,-43.87,86.0
2016-05-01T00:00:00Z,-16.73,-43.87,61.0
2016-06-01T00:00:00Z,-16.73,-43.87,53.0
2016-07-01T00:00:00Z,-16.73,-43.87,0.0
2016-08-01T00:00:00Z,-16.73,-43.87,1.0
2016-09-01T00:00:00Z,-16.73,-43.87,185.0
2016-10-01T00:00:00Z,-16.73,-43.87,1082.0
2016-11-01T00:00:00Z,-16.73,-43.87,1435.0
2016-12-01T00:00:00Z,-16.73,-43.87,1009.0
