time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2008-01-01T00:00:00Z,-16.73,-43.87,1225.0
2008-02-01T00:00:00Z,-16.73,-43.87,1751.0
2008-03-01T00:00:00Z,-16.73,-43.87,2647.0
2008-04-01T00:00:00Z,-16.73,-43.87,990.0
2008-05-01T00:00:00Z,-16.73,-43.87,50.0
2008-06-01T00:00:00Z,-16.73,-43.87,0.0
2008-07-01T00:00:00Z,-16.73,-43.87,0.0
2008-08-01T00:00:00Z,-16.73,-43.87,83.0
2008-09-01T00:00:00Z,-16.73,-43.87,156.0
2008-10-01T00:00:00Z,-16.73,-43.87,47.0
2008-11-01T00:00:00Z,-16.73,-43.87,3283.0
2008-12-01T00:00:00Z,-16.73,-43.87,4029.0
