time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2019-01-01T00:00:00Z,-16.73,-43.87,38.0
2019-02-01T00:00:00Z,-16.73,-43.87,1196.0
2019-03-01T00:00:00Z,-16.73,-43.87,1320.0
2019-04-01T00:00:00Z,-16.73,-43.87,216.0
2019-05-01T00:00:00Z,-16.73,-43.87,126.0
2019-06-01T00:00:00Z,-16.73,-43.87,6.0
2019-07-01T00:00:00Z,-16.73,-43.87,12.0
2019-08-01T00:00:00Z,-16.73,-43.87,26.0
2019-09-01T00:00:00Z,-16.73,-43.87,131.0
2019-10-01T00:00:00Z,-16.73,-43.87,413.0
2019-11-01T00:00:00Z,-16.73,-43.87,1140.0
2019-12-01T00:00:00Z,-16.73,-43.87,1428.0
