time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2011-01-01T00:00:00Z,-16.73,-43.87,1551.0
2011-02-01T00:00:00Z,-16.73,-43.87,150.0
2011-03-01T00:00:00Z,-16.73,-43.87,1921.0
2011-04-01T00:00:00Z,-16.73,-43.87,750.0
2011-05-01T00:00:00Z,-16.73,-43.87,118.0
2011-06-01T00:00:00Z,-16.73,-43.87,2.0
2011-07-01T00:00:00Z,-16.73,-43.87,0.0
2011-08-01T00:00:00Z,-16.73,-43.87,0.0
2011-09-01T00:00:00Z,-16.73,-43.87,0.0
2011-10-01T00:00:00Z,-16.73,-43.87,981.0
2011-11-01T00:00:00Z,-16.73,-43.87,2116.0
2011-12-01T00:00:00Z,-16.73,-43.87,4216.0
