time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2003-01-01T00:00:00Z,-16.73,-43.87,2399.0
2003-02-01T00:00:00Z,-16.73,-43.87,338.0
2003-03-01T00:00:00Z,-16.73,-43.87,515.0
2003-04-01T00:00:00Z,-16.73,-43.87,74.0
2003-05-01T00:00:00Z,-16.73,-43.87,76.0
2003-06-01T00:00:00Z,-16.73,-43.87,0.0
2003-07-01T00:00:00Z,-16.73,-43.87,0.0
2003-08-01T00:00:00Z,-16.73,-43.87,181.0
2003-09-01T00:00:00Z,-16.73,-43.87,8.0
2003-10-01T00:00:00Z,-16.73,-43.87,584.0
2003-11-01T00:00:00Z,-16.73,-43.87,717.0
2003-12-01T00:00:00Z,-16.73,-43.87,2080.0
