time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2018-01-01T00:00:00Z,-16.73,-43.87,259.0
2018-02-01T00:00:00Z,-16.73,-43.87,2198.0
2018-03-01T00:00:00Z,-16.73,-43.87,1484.0
2018-04-01T00:00:00Z,-16.73,-43.87,424.0
2018-05-01T00:00:00Z,-16.73,-43.87,149.0
2018-06-01T00:00:00Z,-16.73,-43.87,0.0
2018-07-01T00:00:00Z,-16.73,-43.87,1.0
2018-08-01T00:00:00Z,-16.73,-43.87,49.0
2018-09-01T00:00:00Z,-16.73,-43.87,37.0
2018-10-01T00:00:00Z,-16.73,-43.87,1288.0
2018-11-01T00:00:00Z,-16.73,-43.87,1640.0
2018-12-01T00:00:00Z,-16.73,-43.87,1931.0
