time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2009-01-01T00:00:00Z,-16.73,-43.87,1734.0
2009-02-01T00:00:00Z,-16.73,-43.87,806.0
2009-03-01T00:00:00Z,-16.73,-43.87,778.0
2009-04-01T00:00:00Z,-16.73,-43.87,729.0
2009-05-01T00:00:00Z,-16.73,-43.87,72.0
2009-06-01T00:00:00Z,-16.73,-43.87,4.0
2009-07-01T00:00:00Z,-16.73,-43.87,0.0
2009-08-01T00:00:00Z,-16.73,-43.87,6.0
2009-09-01T00:00:00Z,-16.73,-43.87,554.0
2009-10-01T00:00:00Z,-16.73,-43.87,3587.0
2009-11-01T00:00:00Z,-16.73,-43.87,1463.0
2009-12-01T00:00:00Z,-16.73,-43.87,2369.0
