time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],ppt[unit="mm"]
2017-01-01T00:00:00Z,-16.73,-43.87,558.0
2017-02-01T00:00:00Z,-16.73,-43.87,1501.0
2017-03-01T00:00:00Z,-16.73,-43.87,1033.0
2017-04-01T00:00:00Z,-16.73,-43.87,100.0
2017-05-01T00:00:00Z,-16.73,-43.87,188.0
2017-06-01T00:00:00Z,-16.73,-43.87,8.0
2017-07-01T00:00:00Z,-16.73,-43.87,0.0
2017-08-01T00:00:00Z,-16.73,-43.87,0.0
2017-09-01T00:00:00Z,-16.73,-43.87,38.0
2017-10-01T00:00:00Z,-16.73,-43.87,339.0
2017-11-01T00:00:00Z,-16.73,-43.87,2314.0
2017-12-01T00:00:00Z,-16.73,-43.87,2409.0
